CYUL,YUL,Montreal Pierre Elliott Trudeau Airport,45.470551,-73.740799,386920
CYUT,YUT,Naujaat Airport,66.521378,-86.224701,125
CYUX,YUX,Hall Beach Airport,68.776108,-81.243599,238
CYUY,YUY,Rouyn Noranda Airport,48.206108,-78.835503,4778
CYVB,YVB,Bonaventure Airport,48.07111,-65.460281,3620
CYVC,YVC,La Ronge Barber Field Airport,55.15139,-105.261002,8075
CYVM,YVM,Qikiqtarjuaq Airport,67.54583,-64.031303,146
CYVO,YVO,Val-d'Or Airport,48.053329,-77.7827,3962
CYVP,YVP,Kuujjuaq Airport,58.096111,-68.426903,7822
CYVQ,YVQ,Norman Wells Airport,65.281609,-126.797997,253
CYVR,YVR,Vancouver International Airport,49.193878,-123.183998,448951
CYVT,YVT,Buffalo Narrows Airport,55.841942,-108.417,745
CYVZ,YVZ,Deer Lake Airport,52.666668,-94.5,454
CYWG,YWG,Winnipeg International Airport,49.91003,-97.239799,155720
CYWH,YWH,Victoria Inner Harbour Airport,48.424988,-123.38887,19128
CYWK,YWK,Wabush Airport,52.92194,-66.864403,1573
CYWL,YWL,Williams Lake Airport,52.183048,-122.054001,7218
CYWP,YWP,Webequie Airport,52.950001,-87.360001,492
CYXC,YXC,Cranbrook Canadian Rockies International Airport,49.612221,-115.780998,2584
CYXE,YXE,Saskatoon John G. Diefenbaker International Airport,52.17083,-106.698997,65477
CYXH,YXH,Medicine Hat Airport,50.01889,-110.720001,11883
CYXJ,YXJ,Fort St. John Airport,56.238049,-120.739998,16170
CYXL,YXL,Sioux Lookout Airport,50.11388,-91.905197,34348
CYXP,YXP,Pangnirtung Airport,66.144989,-65.7136,432
CYXS,YXS,Prince George Airport,53.889439,-122.678001,30446
CYXT,YXT,Terrace Northwest Regional Airport,54.468498,-128.576004,2618
CYXU,YXU,London International Airport,43.033051,-81.1511,27103
CYXX,YXX,Abbotsford International Airport,49.025269,-122.360001,30816
CYXY,YXY,Whitehorse International Airport,60.709549,-135.067001,4528
CYYB,YYB,North Bay Jack Garland Airport,46.363609,-79.422699,12991
CYYC,YYC,Calgary International Airport,51.11388,-114.019997,366147
CYYD,YYD,Smithers Airport,54.824718,-127.181999,741
CYYE,YYE,Fort Nelson Airport,58.83638,-122.596001,546
CYYF,YYF,Penticton Regional Airport,49.463051,-119.601997,7785
CYYG,YYG,Charlottetown Airport,46.290001,-63.121101,15304
CYYH,YYH,Taloyoak Airport,69.546661,-93.576599,240
CYYJ,YYJ,Victoria International Airport,48.646938,-123.425003,91567
CYYL,YYL,Lynn Lake Airport,56.86388,-101.075996,344
CYYQ,YYQ,Churchill Airport,58.739159,-94.065002,1097
CYYR,YYR,Goose Bay Airport,53.31916,-60.4258,14302
CYYT,YYT,St. John's International Airport,47.61861,-52.7519,56058
CYYU,YYU,Kapuskasing Airport,49.413879,-82.467499,1509
CYYY,YYY,Mont-Joli Airport,48.608608,-68.208,5120
CYYZ,YYZ,Toronto Pearson International Airport,43.677219,-79.630501,772939
CYZF,YZF,Yellowknife Airport,62.462769,-114.440002,32645
CYZG,YZG,Salluit Airport,62.179443,-75.667221,576
CYZP,YZP,Sandspit Airport,53.25433,-131.813004,2651
CYZR,YZR,Sarnia Chris Hadfield Airport,42.999439,-82.3088,6107
CYZS,YZS,Coral Harbour Airport,64.193329,-83.359398,179
CYZT,YZT,Port Hardy Airport,50.68055,-127.365997,5788
CYZU,YZU,Whitecourt Airport,54.14389,-115.786003,1315
CYZV,YZV,Sept-Iles Airport,50.223331,-66.265503,26234
CZBB,YDT,Vancouver Boundary Bay Airport,49.077572,-123.006126,14670
CZBF,ZBF,Bathurst Airport,47.629719,-65.7388,6754
CZBM,ZBM,Bromont Airport,45.290798,-72.741402,3884
CZFD,ZFD,Fond Du Lac Airport,59.334209,-107.18119,528
CZGI,ZGI,Gods River Airport,54.839142,-94.079651,380
CZKE,ZKE,Kashechewan Airport,52.279999,-81.669998,1148
CZMD,MSA,Muskrat Dam Airport,53.816666,-91.98333,820
CZMT,ZMT,Masset Airport,54.02,-132.119995,3165
CZPB,ZPB,Sachigo Lake Airport,53.890556,-92.195274,849
CZRJ,ZRJ,Round Lake Airport,52.950001,-91.316666,1356
CZSJ,ZSJ,Sandy Lake Airport,53.033333,-93.23333,1057
CZTM,ZTM,Shamattawa Airport,55.858505,-92.080353,206
